id,name,category,add,latitude,longitude,num,cate_num,현대카드_가맹여부
7609,광어나라,(일반음식점/일반음식점),경기도 용인시 수지구 풍덕천동 122-3번지,37.32447774,127.0992517,1420606936,2301,가맹
7610,수지연세NY치과의원,(치과/치과),경기도 용인시 수지구 상현동 252번지,37.30608423,127.0846797,7834500654,4201,가맹
7611,호두네 정육점,"(축산물,정육점/축산물,정육점)",경기도 용인시 수지구 상현동 1118번지,37.29630812,127.068159,6054095972,2102,가맹
7612,뮤즈노래뮤비방,(기타서비스/기타서비스),경기도 용인시 수지구 풍덕천동 731-6번지,37.32594471,127.1012417,7052200693,9602,가맹
7613,유성은참치,(일식전문점/일식전문점),경기도 용인시 수지구 성복동 89번지,37.31341877,127.0787936,2021569934,2303,비가맹
7614,더온의료기,(기타약품.의료기기/기타약품.의료기기),경기도 용인시 수지구 풍덕천동 710-6번지,37.32462288,127.0968693,7154600508,4501,비가맹
7615,에셀프린터센타,"(문구,사무용품/문구,사무용품)",경기도 용인시 수지구 풍덕천동 1089-1번지,37.32145766,127.0938389,1351828798,8102,가맹
7616,미올한의원,(한의원/한의원),경기도 용인시 수지구 상현동 1131-5번지,37.2973593,127.0696875,6399400506,4212,비가맹
7617,수지소생한의원,(한의원/한의원),경기도 용인시 수지구 풍덕천동 712-3번지,37.3234112,127.0957471,1359124311,4212,가맹
7618,씨유(CU)동천래미안점,(편의점/편의점),경기도 용인시 수지구 동천동 932번지 한빛마을래미안이스트팰리스3단지,37.33465432,127.0887218,8800402509,5202,비가맹
7619,생고뱅 인투인,기타전자제품/기타전자제품,경기도 용인시 수지구 풍덕천동 704-6번지,37.32547934,127.0969099,1380491779,3104,가맹
7620,티파니,기타잡화,경기도 용인시 수지구 상현동 1113번지 광교마을45단지 4504동 204호,37.29808471,127.0634777,1310229964,1401,가맹
7621,로타커피,(커피전문점/커피전문점),경기도 용인시 수지구 상현동 107-4번지 106호,37.30936344,127.0765254,4580900949,2502,가맹
7622,고향손칼국수,(일반음식점/일반음식점),경기도 용인시 수지구 죽전동 1188-4번지 에코프라자 108호,37.33189747,127.1272295,1322348858,2301,가맹
7623,헤어토픽,(미용실(두발전문)/미용실(두발전문)),경기도 용인시 수지구 풍덕천1동 664 삼익아파트 상가-109,37.33295005,127.0963846,2050171387,1602,가맹
7624,마중물,(기타/기타),경기도 용인시 수지구 신봉동 905번지 서홍마을우남퍼스트빌 504동 701호,37.31961831,127.0807679,8863100048,5301,비가맹
7625,지에스25 성복리버파크점,(편의점/편의점),경기도 용인시 수지구 상현동 1번지 성복역리버파크,37.31386747,127.088474,1333800958,5202,비가맹
7626,향기의 뜰,(일반의류/일반의류),경기도 용인시 수지구 상현동 843번지,37.30844103,127.0833013,8590101562,1106,가맹
7627,우연히,(일반음식점/일반음식점),경기도 용인시 수지구 풍덕천동 716-2번지,37.32428459,127.0981127,1782601087,2301,가맹
7628,와이디푸드,(일반음식점/일반음식점),경기도 용인시 수지구 풍덕천동 722-6번지,37.32369835,127.0980143,6370701829,2301,비가맹
7629,브로우티,(피부.체형미관리/피부.체형미관리),경기도 용인시 수지구 풍덕천동 1091-4번지,37.32093452,127.0937401,3493100404,1701,가맹
7630,다비드치과,(치과/치과),경기도 용인시 수지구 신봉동 909번지,37.31976257,127.0833291,8599700019,4201,가맹
7631,콩사돈,(일반음식점/일반음식점),경기도 용인시 수지구 상현동 257-22번지,37.30785998,127.0846813,6305800194,2301,가맹
7632,딜리버리킹수지점,(일반음식점/일반음식점),경기도 용인시 수지구 풍덕천동 685-3번지,37.33101787,127.1007521,4292200877,2301,비가맹
7633,국수사랑채,(일반음식점/일반음식점),경기도 용인시 수지구 풍덕천동 669-1번지,37.33290613,127.0993762,6490200963,2301,가맹
7634,토르짐,(헬스클럽/헬스클럽),경기도 용인시 수지구 풍덕천동 712-4번지,37.32377995,127.0955081,8141901787,8305,가맹
7635,(주) 챌린지캠프,(기타오락.휴식시설/기타오락.휴식시설),경기도 용인시 수지구 죽전동 1492번지 용인죽전효성해링턴플레이스,37.33124529,127.1094766,6678800645,8202,비가맹
7636,생각키움독서토론논술교습소,(기타교육.교습.학원/기타교육.교습.학원),경기도 용인시 수지구 죽전동 1216번지,37.33014409,127.1229036,1939201441,7213,가맹
7637,길수학학원,"(입시학원,보습학원/입시학원,보습학원)",경기도 용인시 수지구 죽전동 1190-5번지,37.33124948,127.1275488,3179202013,7201,가맹
