id,name,SH
6691,구떼,1
4616,구운참,1
5917,구울래?찔래?,1
3195,구이구이쪽갈비 수지동천점,1
7448,구이랑찌개랑,0
5711,구이분자,1
2903,구일구,1
5748,국가대표,1
5179,국가대표 푸줏간,0
983,국가대표복싱,1
7092,국가대표신동태권도장,1
2167,국가대표태권도,1
4486,국가대표푸줏간,1
2619,국가대표한국체대드림태권도장,0
3705,국민 냉면,1
5377,국민낙곱새,1
5831,국선도,1
124,국선도,1
3403,국수사랑채,1
6980,국수집에서만나,0
4397,국어바라국어교습소,1
1511,국어에봄학원,1
643,국어오름,1
5186,국어의샘학원,1
2851,국어종가,0
836,국제 임상 재활연구소,1
5862,국제제면소 수지직영점,0
1072,국풀국기훈국어학원,1
7237,국풀국기훈국어학원,1
4466,국풀기파랑국어학원,1
7638,국풍2000&리드인국어의영광학원,1
926,군 (GooN),0
5124,군반장광교점,0
346,굴다리족발명인,1
3244,굴다리족발명인본점,0
253,굼터,1
7726,굽네치킨,1
6495,굽네치킨,1
2657,굽네치킨 광교1호점,1
3547,굽네치킨 풍덕천1동점,1
6315,굽네치킨(죽전1호점),1
7633,굽네치킨죽전단국대점,0
2749,굿닥터치과,1
3643,굿맨남성컷트전문점,1
2746,굿모닝보청기용인광교센터,0
4062,굿모닝점핑다이어트클럽,1
4707,굿모닝탑수학,1
5045,굿샵 수지구청점,1
6246,굿샷스크린골프,1
2473,굿타임미술교습소,0
3561,굿프렌즈 동물병원,0
4493,굿핸드굿마인드,1
4678,궁중떡방,1
6548,궁중떡방앗간,0
2877,궁중참숯 가마구이,0
3243,권s샵,0
3420,권민영,1
3242,권선생의 연어와 새우,0
7773,귀부인,0
3438,귀한족발 수지구청점,1
5640,그대는 봄,0
6698,그대애개,1
1591,그라지아에스테틱(grazi,0
6233,그래그래피자떡볶이,1
6699,그랜드피아노음악교습소,1
6780,그레이스헤어(GRACEHA,0
3774,그레이웨일(Gray Whale),1
5763,그레이트수학영어학원,1
579,그레잇룸헤어,1
7677,그레잇룸헤어,1
1143,그레잇밀,1
6993,그로우 짐 (Grow Gym),1
2079,그로우랩 수지 신봉점,1
7060,그루밍 스팟,1
3495,그루비멍,1
5999,그루비멍,1
6305,그루스터디카페 성복센타점,0
1048,그루스터디카페 수지신봉센터,1
7413,그루치과의원,1
5718,그리고 필라테스,0
2904,그리고꿈꾸다미술학원,0
3797,그리니수채화공방미술교습소,1
2801,그리다 미술교습소,1
2710,그리다 플러렌 용인수지점,1
7275,그리다미술교습소,0
7148,그리다봄 미술교습소,1
7570,그리다소리,0
1854,그리다헤어,1
6905,그리다홍,1
3044,그리들피자,1
1422,그리밍미술교습소,1
1934,그릭베리(GREEKBERRY),1
5194,그릭하나요거트,0
2469,그린(grin)코스메틱,1
2571,그린뜨게방,1
3039,그린리버 요양보호사 교육원,0
7033,그린모바일2호점,0
4116,그린빌 스크린골프,1
4499,그린숲미술교습소,1
6536,그린아이티,0
2051,그린치과,0
3759,그린케어,0
4805,그린테이블,1
6654,그린트리,1
1028,그린트리,1
7419,그림공간미술교습소,1
2965,그림공간미술교습소,1
315,그림그리는고양이미술교습소,1
3274,그림나무짱샘의미술교습소,1
2573,그림뜰미술교습소,1
7346,그림랜드 미술학원,1
1855,그림마을미술교습소,1
6103,그림아트스튜디오 미술교습소,1
6523,그림온실아뜰리에미술교습소,1
6989,그림은역시그림쌤,1
3678,그림퐁당,1
4564,그와그녀의살롱,1
5206,글라스 뮤지엄,1
2604,글라스스토리(용인상현점),1
5676,글라스안경,1
4363,글랑그디,1
1191,글랑그디,1
4544,글램아이,1
5021,글렌피아노교습소,1
81,글로리네일,1
5011,글로리아 현악기,0
824,글로벌,1
3897,글로벌,1
200,글로벌뷰티산업경영연구소,1
6875,글로벌헤어,1
48,글로비랭(Glo.Be_Lang),1
7546,글로시슈가 앤브로우,1
2007,글샘국어논술교습소,1
1244,글아띠국어,0
5296,글아띠독서논술학원,1
2398,금강세탁소,1
2576,금밭미장원,1
3731,금수강산 아리랑,1
5129,금호마트,1
2696,금호세차장,1
4740,금호세탁소,1
1249,금호타이어 서분당IC점,1
5150,기대만족 상현점,0
258,기린약국,1
6251,기본스터디카페 수지점,1
1121,기쁨인테리어,1
2538,기성면옥,1
481,기영이숯불두마리치킨 용인성복역점,1
3321,기장산곰장어,1
664,기재시스템,1
7681,기재컴퓨터,1
1751,기찬수학전문학원,1
2652,기탄사고력교실 상현금호베스트빌,1
667,기탄사고력교실 용인 신봉자이1차점,0
4840,기파랑문해원학원,0
120,기파랑문해원학원,0
2804,긱매쓰수학학원,1
4226,긱스타 PC CAFE,1
5584,긴자료코 광교점,1
7654,길동석이비인후과,1
6102,길동우동 수지구청역점,1
5417,길동우동 수지이편한세상점,1
5144,길선생영어학원,1
1268,길수학학원,1
1735,김가네,1
2342,김가네김밥,1
891,김가네풍덕천점,0
1412,김과장고깃집,1
1070,김광호  치과의원,0
3988,김규리 헤어젬,0
4455,김기택 탁구클럽,1
4348,김대표푸드,1
6213,김도사불백,1
7762,김동철김밥(용인상현점),0
819,김민기피아노교습소,1
7353,김민재 헤어갤러리,1
3043,김민찬본수학중고등관학원,1
2080,김민찬본수학학원,1
5511,김민헤어살롱,1
4028,김밥나라,1
5434,김밥나라,1
5874,김밥나라,1
135,김밥나라(대지점),0
7459,김밥마는언니네,1
3359,김밥천국,1
2946,김밥천국,1
7637,김밥천국 성복점,1
4163,김밥천국상현점,0
2718,김병연소아청소년과,1
2472,김상현마취통증의학과의원,1
2811,김선경 영어학원,1
2821,김소영수학학원,0
2384,김소영수학학원_더페이,0
1541,김수연정신건강의학과의원,1
246,김숙경의 KNIT & CLO,0
3718,김승희헤어,1
2807,김시연과학학원,1
1627,김연화헤어,1
1524,김완국어논술학원,0
1045,김용한내과의원,1
5004,김유진 정신건강의학과,1
5499,김은영헤어라인,1
2378,김재한내과의원,0
2805,김정욱국어논술학원,1
6612,김정임 개인과외교습소,0
1600,김정화수학학원,1
6869,김종구부산어묵,1
5559,김종구부산어묵수지구청역점,1
7364,김종애헤어샵,1
6562,김종원정신건강의학과의원,1
2738,김종찬수학전문학원,1
1383,김종화푸른소아과,1
5642,김주상도자기,1
2625,김준다올헤어,1
7409,김진영내과,1
3366,김창수학교습소,1
7775,김치빌리아드 수지,1
1118,김치빌리아드 수지,1
7792,김치옥 성복역점,0
902,김태철이비인후과의원,0
3538,김현주국어전문학원,1
287,김호권의 청년어부 수지구청점,1
1221,깃든헤어,1
785,깊은생각국어학원,1
4252,까까펫살롱,1
2011,까르르빈티지샵,0
5800,까르르빈티지샵,0
3104,까르보가든,1
1633,까미헤어,1
2584,까사라토,1
357,까페넬(cafe nell),0
2179,깐돌이네,1
1572,깐부치킨,1
5352,깐부치킨(죽전새터내대지점),1
6900,깐부치킨(죽전역점),0
3135,깐부치킨수지구청점,0
6329,깐부치킨신봉점,1
2592,깡우동광교상현역점,1
2309,깡우동용인수지구청점,1
285,깡우동용인수지구청점,1
6230,깡통커피&Beer,1
